ID,gender,age[age],language,BPMNexperience[yes],openquestion,followingteacher[following],load_video,load_recall,study_duration,condition,condition_mouse,condition_gaze,load_transfer,score_pretest,score_recall,attention1,attention2,score_open_question,score_transfer
5e5c2d2e9f005541804e880d,f,19,other,NA,It is confusing. I would enjoy more if he used only the mouse to point.,7,3,8,41.9765,4,mouse present,gaze present,7.111111111,2,5,1,1,-1,10
5eea82762528b3196fe739b5,m,26,other,NA,"I'm not sure it helped, it was roaming about everywhere sometimes, seemed a bit chaotic relative to the cursor.",9,5,6,53.17516667,4,mouse present,gaze present,5.333333333,5,11,1,0,-1,10.5
5efc7c87ae067d024d35278b,m,18,other,NA,NA,8,6,2,46.47483333,2,mouse present,gaze absent,4.666666667,1,10,1,1,NA,14.5
5e693093eca39a05a5f92bd7,m,21,other,NA,his eye movement followed the explanation step by step he was very,7,8,6,42.738,4,mouse present,gaze present,5.444444444,0,5,1,0,1,6.5
5f1363908cb3ae36bddc069d,m,20,other,NA,NA,8,6,6,65.57483333,1,mouse absent,gaze absent,4.222222222,4,10,1,0,NA,13.5
5fad4e35756cce03334411c2,m,20,other,NA,I was quite usefull,9,6,7,35.5875,3,mouse absent,gaze present,5.333333333,1,7,1,1,1,11
5f9db33caa0c5631a5f9cc7d,f,22,other,NA,I think it is important to be able to follow the reasoning and what you are explaining at the moment.,9,5,4,51.28166667,3,mouse absent,gaze present,5.111111111,4,9,1,0,1,6.5
5ee4ed55dd5d0620d4b8e9c1,m,24,other,NA,"
it wasn't very good",3,2,7,33.68333333,4,mouse present,gaze present,4.555555556,5,3,0,1,-1,3
5f108e5725153235c25ab4dc,m,20,other,NA,NA,5,5,5,38.166,2,mouse present,gaze absent,5,0,7,1,1,NA,3.5
5fa52e4b614df31fe914d86a,m,19,other,NA,It is good to see teacher's eye movements because I know what teacher is talking about,7,9,9,37.715,4,mouse present,gaze present,8.777777778,0,11,1,1,1,10.5
5c0682910ac58a00011568a5,m,18,other,NA,"it was kinda helpful, because i knew what he was looking at",7,8,8,45.74033333,4,mouse present,gaze present,8,0,9,1,1,1,12.5
5fabcdd6a5caa50491afce19,m,19,other,NA,NA,4,5,8,42.35366667,1,mouse absent,gaze absent,8.111111111,0,9,1,1,NA,9
5fad9cb5460126158bf715f8,f,22,other,Y,In my opinion the teacher's eye movements was great. I was able to understand what he is talking about. He has a enough rate (tempo) so i was able to follow him and listened. I didn't have to stress that I didn't follow.,7,9,8,67.97716667,4,mouse present,gaze present,6.888888889,0,11,1,1,1,7.5
5eec65b6f9a5a948009b923f,m,24,other,NA,NA,8,9,9,44.598,1,mouse absent,gaze absent,9,0,8,1,1,NA,11
5f7ef4fc3872531eb775f1ad,f,22,other,NA,NA,9,8,9,40.5385,2,mouse present,gaze absent,8.777777778,3,11,1,1,NA,12
5f99a7328a8128034d660562,m,20,other,NA,NA,8,7,9,44.24416667,1,mouse absent,gaze absent,5.888888889,0,7,1,1,NA,8.5
5f502e9af21c6b1aea508b63,m,25,other,NA,"It managed to convey the point across, I knew which part of the picture I was supposed to pay attention. However, its was bit too erratic for me, and I felt that sometimes, it has done more harm then good, as the teacher hasnt been always looking at the part he was talking about.",7,8,9,45.66566667,3,mouse absent,gaze present,8.222222222,0,11,1,1,0,15
5fa59473579b580b6cbd951c,f,20,e,NA,NA,6,8,8,32.84966667,2,mouse present,gaze absent,6.555555556,0,4,1,0,NA,8.5
5e67b68a0ba4810633cd4635,f,19,other,NA,NA,7,6,2,70.90733333,1,mouse absent,gaze absent,5.111111111,0,7,1,1,NA,5.5
5fbd433cb6d9240ba9c55548,m,22,other,Y,NA,8,7,6,52.95283333,2,mouse present,gaze absent,6.777777778,5,10,1,1,NA,15
5f3444a26880be32a06fa086,m,19,other,NA,"This cool, very handy function",8,7,7,57.96783333,4,mouse present,gaze present,7.222222222,6,8,1,0,1,8
5eba98ceb89aff210c709192,m,18,other,NA,It was helpful sometimes,7,8,8,41.77783333,4,mouse present,gaze present,7.333333333,1,9,1,0,0,5
5adde94be2ceee00010fcb4d,f,21,e,NA,I don't think it made a difference in how I personally comprehended what he was saying but I understand other people would find it helpful so I think it's good that they're included in the video.,9,8,8,28.84316667,3,mouse absent,gaze present,7.777777778,0,7,1,1,1,5.5
5ec5a55832a7515e8324a8a8,m,27,other,NA,NA,9,6,5,44.54433333,1,mouse absent,gaze absent,5.555555556,0,8,1,1,NA,8.5
5e9133f704391d46ee2bcb31,m,23,other,NA,It would be more helpfull if the dot didn't lag so much,9,8,8,48.9165,4,mouse present,gaze present,8.222222222,1,11,1,1,-1,12
5f26e3d6f3b6ba48b4335af1,m,19,e,NA,NA,7,5,7,34.376,1,mouse absent,gaze absent,6.666666667,0,7,1,0,NA,9
5fb50f40340ae6117b78fa62,f,19,other,NA,What do you mean? I did not see his eyes or was that supposed to be the yellow dot? This is a confusing question.,8,3,5,38.14266667,3,mouse absent,gaze present,4.666666667,4,9,1,1,0,2
5c49c9ebe02ead00019b0a5b,m,23,other,NA,It was really helpful for me to see his eye movements. Without this feature it would have been impossible for me to follow and understand his explanation watching this video only once.,9,9,8,40.05783333,4,mouse present,gaze present,7.777777778,1,9,1,1,1,7
5a04983b38ed430001be72ef,f,23,other,NA,it was very nice to understand what he was talking about,8,6,7,36.30216667,4,mouse present,gaze present,7.222222222,0,9,1,0,1,4.5
5f19c60b57fe5e0561cd93d6,f,19,other,NA,NA,3,8,9,43,1,mouse absent,gaze absent,8.111111111,0,8,1,1,NA,7
5f3d74cb18420112eccbcb7d,m,19,other,NA,NA,2,4,7,43.96516667,1,mouse absent,gaze absent,7.333333333,3,9,1,1,NA,4.5
5da46d9d1bffb80016864d6a,f,20,other,NA,NA,8,4,6,38.795,2,mouse present,gaze absent,3.888888889,0,9,1,0,NA,9
5fca632e2c738463cdd11d2e,m,18,other,Y,NA,7,7,6,46.27666667,1,mouse absent,gaze absent,6.111111111,8,10,1,0,NA,9.5
5f889b52d2665d0157fd8b22,m,24,other,NA,NA,9,8,7,38.90066667,1,mouse absent,gaze absent,7.333333333,2,11,1,1,NA,13
5d24e950d4ae76000172b3ff,m,23,other,NA,NA,7,7,6,43.22416667,1,mouse absent,gaze absent,7.333333333,0,7,1,0,NA,11
5f58bd5274dddc044042e001,f,22,e,NA,NA,4,7,9,31.375,2,mouse present,gaze absent,6.333333333,0,3,1,1,NA,1
5f89b2165e742d0a108fa294,m,20,other,NA,His eyes movement almost always coincided with the movement of the mouse pointer. He followed exactly every image/part of image he was explaining.,9,8,5,49.17316667,4,mouse present,gaze present,5.888888889,2,11,1,1,0,15.5
5fc4bc07be970b93ac1ac3b2,m,28,other,NA,"The teacher was always following the item he spoke about with his eyes - this was very much a real-time action, so always pointed at the item he spoke about, or referred to.",7,8,8,35.635,4,mouse present,gaze present,8.444444444,0,7,1,1,1,5.5
5f3838bf6b6b703315fc0ad1,f,19,other,NA,It was pretty useful to me as I knew where to look. I oriented in the video more clearly.,9,7,9,70.68233333,4,mouse present,gaze present,6.888888889,0,10,1,0,1,11.5
5fad2835047e733aed848838,m,21,other,NA,NA,6,9,9,46.502,2,mouse present,gaze absent,8.888888889,1,1,1,0,NA,4.5
5e2b00df54650c1518869798,f,30,other,NA,NA,8,8,9,59.18983333,1,mouse absent,gaze absent,7.888888889,0,6,1,1,NA,13
59f25f8fcc514a00011a673d,m,21,other,NA,NA,8,4,7,32.437,2,mouse present,gaze absent,6.666666667,0,10,1,1,NA,9
5e5c993cd0394c474f7cc502,m,24,other,NA,NA,8,9,8,38.43216667,2,mouse present,gaze absent,7.555555556,0,11,1,0,NA,8.5
5f2448855226b0000a8129e1,m,19,other,NA,It was nice but in my opinion the mouse cursor movement is better in explaining things.,8,7,8,35.65283333,4,mouse present,gaze present,6.888888889,1,7,1,1,-1,5
5f843bd660bf8a0406a09db2,m,21,other,NA,NA,7,6,7,38.46683333,2,mouse present,gaze absent,6,2,2,1,1,NA,2.5
5fb7cfde7808523cea8ee891,m,20,other,NA,NA,9,7,7,54.48216667,2,mouse present,gaze absent,6,3,10,1,1,NA,11.5
5fb6e11efec8e114e1207f9e,m,22,other,NA,NA,7,7,8,38.69333333,1,mouse absent,gaze absent,6.444444444,5,8,1,1,NA,7.5
5f1049971158f02ac6751ea4,f,29,e,NA,NA,9,3,9,43.7725,1,mouse absent,gaze absent,6.333333333,0,5,1,0,NA,5
5c2f5cf789f035000176431b,m,21,other,NA,NA,6,7,8,32.7655,2,mouse present,gaze absent,6.222222222,0,8,1,1,NA,6.5
5f2710df5d5c6c3f0fa9c2a7,f,23,other,Y,"I think that seeing the teacher's eye movements is very helpful, made me pay more attention on the video, because i was following the eye movement all the time.",3,8,8,56.944,3,mouse absent,gaze present,9,1,2,1,1,1,3
5fc3bafb50130c21f8975bb0,m,18,other,NA,Help who are watching the video understanding better the explanation and we know to where we need to focus our attention.,9,7,8,46.75966667,3,mouse absent,gaze present,7.555555556,0,3,1,1,1,5.5
5fbc5c3a4e6450128c7cf587,f,20,e,NA,NA,5,8,7,40.01133333,2,mouse present,gaze absent,7.111111111,0,5,1,0,NA,4
5f5482f181dfe77f7af03a04,f,24,other,NA,It’s distracting because it moves a lot,9,6,7,47.342,4,mouse present,gaze present,5.888888889,0,6,1,1,-1,4
5d4f13b0e02e5500162bb664,f,23,other,NA,NA,9,7,7,47.69616667,1,mouse absent,gaze absent,7.222222222,0,6,1,1,NA,7.5
5ee001ead9eb7134ccc2560a,m,20,other,NA,"I think that BPMN is a great notation when we're taking about a language that is capable to achieve the universality of modeling and process businesses.
",7,8,9,64.77466667,3,mouse absent,gaze present,7.666666667,1,10,1,1,0,2
5f2ad7d6a305a13e66a7ac32,f,21,other,NA,"The movement of a yellow dotreally bothered me, but he seemd focused on the things he said",5,8,7,30.44283333,4,mouse present,gaze present,6.555555556,0,4,1,1,-1,2
5e81cd3de28dab8c8a5e3dda,f,22,other,NA,I think that it helps a lot more to understand the model.,7,5,8,48.74416667,4,mouse present,gaze present,7.555555556,0,7,1,1,1,12.5
